"","X","Year","Player","Age","G","GS","MP","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Improvement","NextSeasonChange","PG","SG","SF","C","LAL","PHO","TOT","DAL","IND","HOU","CHI","ORL","POR","PHI","NJN","UTA","DET","BOS","ATL","GSW","NYK","DEN","MIN","CHA","LAC","SDC","SEA","NOH","NOP","BRK","CLE","CHH","MIA","MIL","SAS","TOR","WAS","OKC","SAC","MEM","WSB","KCK","VAN","NOK"
"8249",8248,1986,"Kiki Vandeweghe",27,79,76,35.3,19.7,0.614,0.452,0.037,0.05,0.044,0.103,0.009,0.003,0.1,0.251,9,0.9,9.9,0.169,3.2,-3,0.2,1.5,9.1,16.9,0.54,0,0.1,0.125,9.1,16.8,0.542,0.54,6.6,7.6,0.869,1.2,1.6,2.7,2.4,0.7,0.2,2.2,2,24.8,0.107142857142857,0.0846774193548385,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10869",10868,1992,"Kiki Vandeweghe",33,67,0,14.3,14.2,0.558,0.211,0.038,0.068,0.053,0.094,0.008,0.005,0.061,0.204,1.9,0.9,2.9,0.144,0.5,-2,-1.5,0.1,2.8,5.7,0.491,0.4,1,0.394,2.4,4.7,0.511,0.525,1,1.2,0.802,0.5,0.9,1.3,0.9,0.2,0.1,0.4,1.3,7,-0.570552147239264,-0.114285714285714,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17310",17309,2005,"Kirk Hinrich",24,77,77,36.4,15.3,0.495,0.193,0.013,0.108,0.061,0.315,0.023,0.006,0.126,0.223,2.5,4.7,7.2,0.124,1.9,1.3,3.3,3.7,5.8,14.6,0.397,1.9,5.3,0.355,3.9,9.3,0.42,0.461,2.2,2.8,0.792,0.4,3.5,3.9,6.4,1.6,0.3,2.3,3.2,15.7,0.308333333333333,0.0127388535031847,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17889",17888,2006,"Kirk Hinrich",25,81,81,36.5,15.5,0.528,0.291,0.011,0.1,0.056,0.289,0.016,0.006,0.134,0.214,4.1,3.5,7.6,0.124,1.8,0.2,1.9,2.9,5.6,13.3,0.418,1.6,4.2,0.37,4,9.1,0.441,0.477,3.2,3.9,0.815,0.4,3.2,3.6,6.3,1.2,0.3,2.3,3.1,15.9,0.0127388535031847,0.0440251572327044,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18426",18425,2007,"Kirk Hinrich",26,80,80,35.5,17,0.559,0.268,0.013,0.097,0.055,0.292,0.018,0.006,0.139,0.216,5.5,4.6,10.1,0.171,2.7,0.2,2.9,3.5,5.9,13.3,0.448,1.8,4.2,0.415,4.2,9.1,0.463,0.514,3,3.5,0.835,0.4,3,3.4,6.2,1.2,0.3,2.4,3.4,16.6,0.0440251572327044,-0.307228915662651,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18988",18987,2008,"Kirk Hinrich",27,75,72,31.7,13.1,0.501,0.178,0.013,0.106,0.058,0.309,0.019,0.006,0.154,0.189,1.5,2.1,3.6,0.072,0.1,-0.9,-0.8,0.7,4.4,10.6,0.414,1.1,3.2,0.35,3.3,7.4,0.442,0.467,1.6,1.9,0.831,0.4,2.9,3.3,6,1.2,0.3,2.1,3,11.5,-0.307228915662651,-0.139130434782609,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19583",19582,2009,"Kirk Hinrich",28,51,4,26.3,13.9,0.551,0.205,0.014,0.091,0.053,0.227,0.025,0.01,0.16,0.181,1.3,1.3,2.6,0.092,0.8,-0.5,0.4,0.8,3.6,8.2,0.437,1.4,3.3,0.408,2.2,4.9,0.456,0.519,1.3,1.7,0.791,0.3,2.1,2.4,3.9,1.3,0.4,1.7,2.5,9.9,-0.139130434782609,0.101010101010101,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20161",20160,2010,"Kirk Hinrich",29,74,53,33.5,11.6,0.501,0.15,0.011,0.104,0.058,0.205,0.018,0.007,0.123,0.166,1.2,2.8,4,0.077,-0.3,0.3,0,1.2,4.2,10.2,0.409,1.4,3.8,0.371,2.8,6.4,0.431,0.478,1.1,1.5,0.752,0.3,3.2,3.5,4.5,1.1,0.3,1.5,2.8,10.9,0.101010101010101,-0.0642201834862386,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20789",20788,2011,"Kirk Hinrich",30,72,51,30,12.3,0.543,0.202,0.011,0.089,0.049,0.211,0.018,0.006,0.151,0.167,1.8,1.2,3,0.068,-0.2,-1.3,-1.5,0.3,3.9,8.7,0.446,1,2.6,0.399,2.8,6,0.467,0.506,1.5,1.8,0.841,0.3,2.2,2.5,4,1,0.2,1.7,2.6,10.2,-0.0642201834862386,-0.352941176470588,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21368",21367,2012,"Kirk Hinrich",31,48,31,25.8,9.2,0.511,0.108,0.011,0.085,0.048,0.163,0.016,0.007,0.158,0.139,0.4,1.4,1.8,0.069,-1.4,-0.1,-1.4,0.2,2.5,6.1,0.414,1,2.8,0.346,1.6,3.3,0.472,0.493,0.5,0.7,0.781,0.2,1.9,2.1,2.8,0.8,0.2,1.2,2.1,6.6,-0.352941176470588,0.166666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21914",21913,2013,"Kirk Hinrich",32,60,60,29.4,10.8,0.493,0.232,0.01,0.093,0.051,0.275,0.019,0.011,0.175,0.147,1,2.1,3.1,0.085,-1.1,-0.2,-1.2,0.3,2.6,7,0.377,1.2,3,0.39,1.5,4,0.367,0.461,1.2,1.6,0.714,0.3,2.4,2.6,5.2,1.1,0.4,1.6,3.2,7.7,0.166666666666667,0.181818181818182,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22531",22530,2014,"Kirk Hinrich",33,73,61,29,10.8,0.494,0.202,0.017,0.085,0.052,0.226,0.02,0.01,0.151,0.173,0.4,3.3,3.8,0.085,-1.3,0.5,-0.8,0.6,3.3,8.5,0.393,1.2,3.3,0.351,2.2,5.2,0.419,0.461,1.3,1.7,0.76,0.4,2.2,2.6,3.9,1.1,0.4,1.6,2.8,9.1,0.181818181818182,-0.373626373626374,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23135",23134,2015,"Kirk Hinrich",34,66,22,24.4,6.8,0.468,0.131,0.014,0.066,0.041,0.138,0.015,0.006,0.153,0.133,-0.3,1.3,1,0.03,-2.3,-0.6,-2.8,-0.3,2.2,5.8,0.373,0.9,2.5,0.345,1.3,3.2,0.394,0.449,0.5,0.8,0.7,0.3,1.5,1.8,2.2,0.7,0.2,1.1,2.2,5.7,-0.373626373626374,-0.473684210526316,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22189",22188,2013,"Klay Thompson",22,82,82,35.8,12.7,0.533,0.13,0.012,0.1,0.057,0.101,0.015,0.012,0.11,0.218,1.7,2.6,4.3,0.07,0.4,-0.6,-0.1,1.4,6.2,14.7,0.422,2.6,6.4,0.401,3.6,8.3,0.437,0.509,1.6,1.9,0.841,0.4,3.3,3.7,2.2,1,0.5,1.9,2.9,16.6,0.328,0.108433734939759,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22798",22797,2014,"Klay Thompson",23,81,81,35.4,14.3,0.555,0.147,0.015,0.079,0.047,0.102,0.013,0.01,0.092,0.226,3.5,3.2,6.7,0.112,1.3,-0.6,0.7,1.9,6.9,15.5,0.444,2.8,6.6,0.417,4.1,8.9,0.464,0.533,1.8,2.3,0.795,0.5,2.6,3.1,2.2,0.9,0.5,1.7,2.9,18.4,0.108433734939759,0.179347826086957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23447",23446,2015,"Klay Thompson",24,77,77,31.9,20.8,0.591,0.197,0.012,0.094,0.054,0.146,0.017,0.018,0.095,0.276,5.7,3.1,8.8,0.172,3.6,-1,2.7,2.9,7.8,16.9,0.463,3.1,7.1,0.439,4.7,9.8,0.481,0.555,2.9,3.3,0.879,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7,0.179347826086957,0.0184331797235024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24034",24033,2016,"Klay Thompson",25,80,80,33.3,18.6,0.597,0.159,0.015,0.103,0.062,0.098,0.011,0.014,0.085,0.263,5.4,2.6,8,0.144,2.9,-2.2,0.7,1.8,8.1,17.3,0.47,3.5,8.1,0.425,4.7,9.2,0.51,0.569,2.4,2.8,0.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1,0.0184331797235024,0.00904977375565608,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
